"name"	"namealt"	"name_ar"	"name_bn"	"name_de"	"name_en"	"name_es"	"name_fr"	"name_el"	"name_hi"	"name_hu"	"name_id"	"name_it"	"name_ja"	"name_ko"	"name_nl"	"name_pl"	"name_pt"	"name_ru"	"name_sv"	"name_tr"	"name_vi"	"name_zh"	"name_fa"	"name_he"	"name_uk"	"name_ur"	"name_zht"	"min_lat"	"min_lon"	"max_lat"	"max_lon"
"Darling Range"	NA	"سلسلة جبال دارلينج"	"দারলিং রেঞ্জ"	"Darling Range"	"Darling Range"	"Montes Darling"	"Darling Scarp"	"Οροσειρά Ντάρλινγκ"	"डार्लिंग रेंज"	"Darling Range"	"Darling Range"	"Monti Darling"	"ダーリング山地"	"달링 레인지"	"Darling Scarp"	"Darling Range"	"Cordilheira Darling"	"Дарлинг-Рейндж"	"Darling Range"	"Darling Sıradağları"	"Dãy Darling"	"达令山脉"	"رشته کوه دارلینگ"	"רכס דארלינג"	"гори Дарлінг"	"ڈارلنگ رینج"	"達令嶺"	-33.9010555968809	115.616709831646	-29.3024227843809	116.725108269146
"Hamersley Ra."	NA	"سلسلة جبال هامرسلي"	"হ্যামার্সলি রেঞ্জ"	"Hamersley Range"	"Hamersley Range"	"Cordillera Hamersley"	"Monts Hamersley"	"Οροσειρά Χάμερσλεϊ"	"हैमरस्ले रा."	"Hamersley Ra."	"Pegunungan Hamersley"	"Monti Hamersley"	"ヘイマースレイ山地"	"해머슬리 레인지"	"Hamersley Range"	"Pasmo Hamersley"	"Cordilheira Hamersley"	"хребет Хамерсли"	"Hamersley Range"	"Hamersley Sıradağları"	"Dãy Hamersley"	"哈麦斯利山脉"	"رشته کوه همرسلی"	"רכס המרסלי"	"хребет Хамерслі"	"ہیمرسلے رینج"	"哈麥斯利嶺"	-22.915704034381	116.176402214459	-21.6406796203185	119.630625847271
"Owen Stanley Ra."	NA	"سلسلة جبال أوين ستانلي"	"ওয়েন স্ট্যানলি রেঞ্জ"	"Owen-Stanley-Gebirge"	"Owen Stanley Range"	"Cordillera de Owen Stanley"	"Chaîne Owen Stanley"	"Οροσειρά Όουεν Στάνλεϊ"	"ओवेन स्टेनली रेंज"	"Owen Stanley-hegység"	"Pegunungan Owen Stanley"	"Monti Owen Stanley"	"オーエン・スタンリー山脈"	"오웬 스탠리 레인지"	"Owen Stanley-gebergte"	"Góry Owena Stanley'a"	"Cordilheira de Owen Stanley"	"хребет Оуэн-Стэнли"	"Owen Stanley-bergen"	"Owen Stanley Sıradağı"	"Dãy Owen Stanley"	"欧文斯坦利山脉"	"رشته کوه اوون استنلی"	"רכס אואן סטאנלי"	"хребет Оуен-Стенлі"	"اون اسٹینلے رینج"	"奧文斯坦利嶺"	-10.2429745421934	146.737559441021	-7.60955169063089	149.902964714459
"Maoke Mts."	NA	"جبال ماوكي"	"মাওকে মাউন্টেন"	"Maokegebirge"	"Maoke Mountains"	"Montes Maoke"	"Monts Maoke"	"Ορη Μαόκε"	"माओक पर्वत"	"Maoke-hegység"	"Pegunungan Maoke"	"Monti Maoke"	"マオケ山脈"	"마오케 마운틴스"	"Maokegebergte"	"Góry Maoke"	"Montanhas Maoke"	"горы Маоке"	"Maokebergen"	"Maoke Dağları"	"Dãy Maoke"	"毛克山脉"	"کوه های مائوکه"	"מאוטו שאן"	"гори Маоке"	"ماوکے پہاڑ"	"毛克山"	-4.82891204219338	135.458994987896	-2.89299895625592	140.712046745709
"Barisan Mountains"	NA	"جبال باريسان"	"বারিসান মাউন্টেন"	"Barisangebirge"	"Barisan Mountains"	"Cordillera de Barisan"	"Bukit Barisan"	"Όροι Μπαρισάν"	"बरिसन पर्वत"	"Barisan-hegység"	"Pegunungan Bukit Barisan"	"Bukit Barisan"	"バリサーン山脈"	"바리산 마운틴스"	"Barisangebergte"	"Barisan"	"Montanhas Barisan"	"Букит-Барисан"	"Pegunungan Barisan"	"Barisan Dağları"	"Dãy núi Barisan"	"巴里桑山脈"	"کوه های باریسان"	"הרי באריסן"	"гори Барисан"	"باریسن پہاڑ"	"巴里桑山脈"	-5.29692962031842	100.043223503521	0.430853582806591	104.818858269146
"Hentiyn Mts."	NA	"جبال هينتين متس"	"হেন্তিন মাউন্টেন"	"Chentii-Gebirge"	"Khentii Mountains"	"Montañas Jenti"	"Monts Khentii"	"Όρη Χέντιιν"	"ख़ेन्ती पर्वतमाला"	"Hentiyn-hegység"	"Pegunungan Khentii"	"Monti Hėntij"	"ヘンティー山脈"	"헨티인 마운틴스"	"Hentigebergte"	"Chentej"	"Montanhas Khentii"	"Хэнтэй"	"Khentiibergen"	"Hentiy Dağları"	"Dãy núi Khentii"	"肯特山"	"رشتهکوه خنتی"	"הרי חנטי"	"Хентей"	"سلسلہ کوہ خینتی"	"肯特山"	47.007879949994	105.525279167584	50.6425235046815	112.526866081646
"Bureinskiy Ra."	NA	"جبل بورينسكي"	"বুরেন্সকিয় রেঞ্জ"	"Burejagebirge"	"Bureinsky Ridge"	"Montañas Bureinskiy"	"Bureinsky Ridge"	"Οροσειρά Μπουρέινσκιι"	"ब्यूरिंस्की पर्वत"	"Bureinszki-hegység"	"Pegunungan Bureinsky"	"Monti della Bureja"	"ブレヤ山脈"	"부레인스키 레인지"	"Boereinskiy chrebet"	"Góry Burejskie"	"Cordilheira Bureya"	"Буреинский хребет"	"Bureinskiy"	"Bureinskiy Sıradağı"	"Dãy Bureinskiy"	"布雷因斯山脉"	"رشته کوه بورینسکی"	"רכס בוריינסקי"	"Буреїнський хребет"	"بیورینسکی را۔"	"布連斯基山"	50.3649966492128	133.034190300396	52.1872622742129	135.977183464459
"Yam Alin’ Range"	NA	"سلسلة جبال يم الين"	"ইয়াম আলিন রেঞ্জ"	"Jam-Alin"	"Yam-Alin"	"Cordillera Yam Alin'"	"Monts Yam Alin’"	"Οροσειρά Γιαμ Αλίν"	"यम एलिन 'रेंज"	"Yam Alin-hegység"	"Pegunungan Yam Alin"	"Monti Jam-Alin'"	"ヤム＝アリニ山脈"	"얌 알린 레인지"	"Yam-Alin'"	"Yam Alin’ Range"	"Cordilheira Yam-Alin’"	"Ям-Алинь"	"Jam-Alin-bergen"	"Yam Alin Sıradağı"	"Dãy Yam Alin'"	"扬阿林山脉"	"رشته کوه یام آلین"	"רכס יאם אלין"	"хребет Ям Алінь"	"یام الن رینج"	"雅馬林山"	52.2655703796815	134.152354362896	54.3739688171815	135.559825066021
"Chukchi Range"	NA	"سلسلة جبال تشوكشي"	"চুকচি রেঞ্জ"	"Tschuktschen-Gebirge"	"Chukotka Mountains"	"Cordillera de Chukotka"	"Chukchi Plateau"	"Οροσειρά Τσούκχι"	"चूक्ची रेंज"	"Chukchi-hegység"	"Pegunungan Chukchi"	"Altopiano dei Ciukci"	"チュクチ山地"	"축치 레인지"	"Chukchi Range"	"Pasmo Chukchi"	"Cordilheira de Tchukotka"	"Чукотка"	"Tjuktjibergen"	"Chukchi Sıradağı"	"Dãy Chukchi"	"楚科奇山脉"	"رشته کوه چوکچی"	"רכס צ'וקצ'י"	"Чукчі-рендж"	"چکچی رینج"	"楚科奇山脈"	66.7606265320254	171.601939323834	69.8747622742129	180
"Suntar-Khayata Range"	NA	"سلسلة جبال سونتار خاياتا"	"সুনতার-খয়তা রেঞ্জ"	"Suntar-Chajata-Gebirge"	"Suntar-Khayata Range"	"Cordillera Suntar-Khayata"	"Chaîne de montagnes de Suntar-Khayata"	"Οροσειρά Σουντάρ-Χαγιάτα"	"सुन्तर-खायता रेंज"	"Suntar-Khayata-hegység"	"Pegunungan Suntar-Khayata"	"Monti Suntar-Chajata"	"スンタルハヤタ山脈"	"순타르-카야타 레인지"	"Soentar-Chajata"	"Suntar-Chajata"	"Cordilheira Suntar-Khayata"	"Сунтар-Хаята"	"Suntar-Chajatabergen"	"Suntar-Khayata Sıradağı"	"Dãy Suntar-Khayata"	"孫塔爾哈亞塔山脈"	"رشته کوه سونتار کهایاتا"	"רכב סונטאר-ח'יאטה"	"Сунтар-Хаята"	"سنتر کھایاتا رینج"	"孫塔爾哈亞塔山脈"	60.9809024109316	139.480845573834	63.1256167664004	145.190440300396
"Dzhugdzhur Range"	NA	"سلسلة جبال دجوجدجور"	"দঝুগঝুর রেঞ্জ"	"Dschugdschur"	"Dzhugdzhur Mountains"	"Montes Dzhugdzhur"	"Dzhugdzhur"	"Οροσειρά Ντουγκζούρ"	"ज़ुगदज़ुर रेंज"	"Dzsugdzsur-hegység"	"Pegunungan Dzhugdzhur"	"Monti Džugdžur"	"ジュグジュル山地"	"주그주르 레인지"	"Dzhugdzhur Range"	"Pasmo Dżugdżur"	"Cordilheira Dzhugdzhur"	"Джугджур"	"Dzhugdzhur"	"Dzhugdzhur Sıradağları"	"Dãy Dzhugdzhur"	"朱格朱尔山脉"	"رشته کوه ژیگژور"	"רכס דג'וגג'ור"	"Джугджур"	"زنگ زر رینج"	"朱格朱爾山脈"	55.2208926453066	133.799693230084	59.0377871765566	140.209483269146
"Momskiy Mts."	NA	"جبال مومسكي"	"মোমস্কি মাউন্টেন"	"Momagebirge"	"Momskiy Khrebet"	"Monte Momskiy"	"Monts de la Moma"	"Όρη Μόμσκιι"	"मोम्स्की पर्वत"	"Momszkij-hegység"	"Pegunungan Momskiy"	"Monti della Moma"	"モムスキー山地"	"맘스키 마운틴스"	"Momagebergte"	"Góry Momskie"	"Cordilheira Moma"	"Момский хребет"	"Momskijbergen"	"Momskiy Dağları"	"Dãy Momskiy"	"莫馬山脈"	"کوه های مومسکی"	"מון"	"Момський хребет"	"مومسکی پہاڑ"	"莫馬山脈"	64.6602236999941	142.651988151959	67.4254824890566	149.670420769146
"Central Bruhui Range"	NA	"سلسلة جبال براهوي الوسطى"	"সেন্ট্রাল ব্রুহুই রেঞ্জ"	"Central Brahui Range"	"Central Brahui Range"	"Cordillera Central Brāhui"	"Central Bruhui Range"	"Κεντρική Οροσειρά Μπρουχούι"	"सेंट्रल ब्रुहुई रेंज"	"Közép-Bruhui-hegység"	"Pegunungan Central Brahui"	"monti Brahui Centrali"	"中央ブラーフイ山脈"	"센트럴 브루후이 레인지"	"Central Brahui Range"	"Pasmo środkowego Brāhui"	"Cordilheira Central de Brāhui"	"хребет Центральный Брагуи"	"Bruhui"	"Central Brahui Sıradağları"	"Dãy Central Bruhui"	"中布拉灰山脉"	"رشته کوه مرکزی براهویی"	"רכס ברואהי המרכזי"	"Централ-Брах"	"سینٹرل بروہوئی رینج"	"中布魯惠山脈"	28.494208074994	66.3053084644588	30.4138247742129	67.6081649097712
"Karatau Range"	NA	"سلسلة جبال كاراتاو"	"কারাতোউ রেঞ্জ"	"Qaratau"	"Karatau Mountains"	"Cordillera Karatau"	"Montagnes Karatau"	"Οροσειρά Καρατάου"	"कराटाऊ रेंज"	"Karatau-hegység"	"Pegunungan Karatau"	"monti Karatau"	"カラタウ山地"	"가라타우 레인지"	"Karatau Mountains"	"Karatau"	"Cordilheira Karatau"	"Каратау"	"Qaratau"	"Karatau Sıradağları"	"Dãy Karatau"	"卡拉套山"	"کوهستان قرهداغ"	"רכס קרטאו"	"Каратау"	"کاراتو رینج"	"卡拉套山"	42.5661074890566	66.1892195972713	45.2010562195253	71.3343611988337
"Arvalli Ra."	NA	"سلسلة جبال آرافالي"	"আরাবাল্লি রেঞ্জ"	"Aravalligebirge"	"Aravalli Range"	"Montañas Arvalli"	"Aravalli"	"Οροσειρά Αρβαλλί"	"अरवली रा"	"Arvalli-hegység"	"Pegunungan Aravali"	"Monti Aravalli"	"アラーヴァリー山脈"	"아르발리 레인지"	"Aravalligebergte"	"Pasmo Arvalli"	"Cordilheira Arvalli"	"хребет Арвали"	"Aravalli"	"Aravalli Sıradağları"	"Dãy Arvalli"	"阿瓦利拉山脉"	"رشته کوه آروالی"	"רכס ארוואלי"	"Арваллі"	"اروالی را۔"	"阿瓦利拉山"	24.5999820007753	72.0988875660212	27.110419012494	74.5247908863337
"Sulaiman Ra."	NA	"سلسلة جبال سليمان"	"সুলাইমান রেঞ্জ"	"Kōh-e Sulaymān"	"Sulaiman Mountains"	"Montañas de Sulaimán"	"Montagne de Sulaiman-Too"	"Όρη Σουλαϊμάν"	"सुलयमान पर्वत"	"Sulaiman-hegység"	"Pegunungan Sulaiman"	"monti Sulaiman"	"スライマーン山脈"	"술라이만 레인지"	"Sulaiman Mountains"	"Góry Sulejmańskie"	"Cordilheira Sulaiman"	"Сулеймановы горы"	"Sulaimanbergen"	"Süleyman Sıradağı"	"Dãy núi Sulaiman"	"蘇萊曼山脈"	"رشتهکوه سلیمان"	"הרי סולימאן"	"Сулейманові гори"	"کوہ سلیمان"	"蘇萊曼山脈"	29.0770938171815	68.9250594410212	33.7306582703066	70.6405135425838
"Central Makran"	NA	"سلسلة جبال مكران الوسطى"	"সেন্ট্রাল মাকরান"	"Central Makran Range"	"Central Makran Range"	"Central Makran"	"Central Makran Range"	"Κεντρικό Μακράν"	"मधय मकरान पर्वतमाला"	"Közép-Makran"	"Central Makran"	"Monti del Makran Centrale"	"中央マクラーン山脈"	"센트럴 마크란"	"Central Makran Range"	"Środkowe pasmo Makran"	"Makran Central"	"Центральный Макранский хребет"	"Makranbergen"	"Central Makran"	"Dãy Central Makran"	"中莫克兰山脉"	"مکران مرکزی"	"רכס מקראן המרכזי"	"Центральний Макранський хребет"	"سلسلہ کوہ وسطی مکران"	"中央馬克蘭"	26.1049258484316	62.4394637378963	28.2704531921816	66.0671492847713
"Kirthar Ra."	NA	"سلسلة جبال كيثار"	"কিরথার রেঞ্জ"	"Kirthar-Gebirge"	"Kirthar Mountains"	"Montañas de Kirthar"	"Kirthar Mountains"	"Κίρθαρ Ρα."	"किरथर पर्वत"	"Kirthar-hegység"	"Pegunungan Kirthar"	"monti Kīrthar"	"キルタル山脈"	"키르타르 레인지"	"Kirthargebergte"	"Koh-e Kirthar"	"Cordilheira Kirthar"	"Киртхар"	"Kirtharbergen"	"Kirthar Dağları"	"Dãy Kirthar"	"基爾塔爾山脈"	"رشته کوه کیرتار"	"רכס קירטאר"	"хребет Кіртхар"	"کھیرتھر"	"基爾塔爾山脈"	25.4005191101503	66.3448592457088	28.3301455749941	67.4843856128962
"Lebanon Mts."	NA	"جبال لبنان"	"লেবানন মাউন্টেন"	"Libanongebirge"	"Mount Lebanon Range"	"Cordillera del Líbano"	"Mont-Liban"	"Όρος Λίβανου"	"लेबनान पर्वत"	"Libanon-hegység"	"Pegunungan Lebanon"	"Monte Libano"	"レバノン山脈"	"레바논 마운틴스"	"Lebanon Mountains"	"Góry Libańskie"	"Monte Líbano"	"хребет Ливан"	"Libanonberget"	"Lübnan Dağları"	"Dãy Lebanon"	"黎巴嫩山脉"	"کوه های لبنان"	"רכס לבנון"	"Ліван"	"لبنان پہاڑ"	"黎巴嫩山"	33.2335879578065	35.3100692066462	34.6108462585879	36.3576766285212
"Kopet Dag Mts ."	NA	"كبه طاغ"	"কোপেত দাগ মাউন্টেন"	"Kopet-Dag"	"Kopet Dag"	"Kopet Dag"	"Kopet-Dag"	"Όρη Κόπετ Νταγκ"	"कोपेत दाग़"	"Kopet-dag"	"Kopet Dag"	"Kopet Dag"	"コペトダグ山脈"	"코페트다그산맥"	"Kopet-Dag"	"Kopet-dag"	"Kopet Dag"	"Копетдаг"	"Kopet-Dag"	"Kopet Dağları"	"Kopet Dag"	"克佩特山脈"	"کپهداغ"	"קופט-דאג"	"Копетдаг"	"کوپے ڈاگ پہاڑ"	"克佩特山脈"	36.2014834656191	55.4626570972712	39.3858096374941	60.6617537769587
"Paropamisus Ra."	NA	"سلسلة جبال باروباميس"	"পারোপামিসুস রেঞ্জ"	"Paropamismus-Gebirge"	"Paropamisus Mountains"	"Cordillera Paropamisus"	"Chaîne du Paropamisus"	"Οροσειρά Παροπαμίσους"	"पारोपामिसस रेंज"	"Paropamisus-hegység"	"Pegunungan Paropamisus"	"Paropamisus Range"	"パロパミソス山脈"	"파로파미수스 레인지"	"Silsilah-ye Safēd Kōh"	"Paropamisus"	"Indocuche"	"горы Паропамиз"	"Paropamisus."	"Paropamisus Sıradağları"	"Dãy Paropamisus"	"帕罗帕米修斯山脉"	"رشته کوه پاروپامیسوس"	"רכס פארופאמיסוס"	"Паропамісус"	"ہاروپامیسس رینج"	"帕羅帕米蘇山"	34.2854678406191	61.5030623707088	35.3212344421816	66.6751815113337
"Al Hajar Mts."	NA	"جبال الحجر"	"আল হাজার মাউন্টেন"	"Hadschar-Gebirge"	"Al Hajar Mountains"	"Montañas Al Hayar"	"Monts Hajar"	"Όρη Αλ Χατζάρ"	"अल हज़र पर्वत"	"Hadzsar-hegység"	"Pegunungan Al Hajar"	"Monti Ḥajar"	"ハジャル山地"	"알 하자르 마운틴스"	"Hadjargebergte"	"Pasmo górskie Al-Hadżar"	"Montanhas Hajar"	"горы Аль-Хаджар"	"Al Hajar-bergen"	"Hacer Dağları"	"Dãy Al Hajar"	"哈贾尔山脉"	"کوه های ال حجر"	"רכס אל חג'אר"	"гори Ель-Хаджар"	"ال حجر پہاڑ"	"哈杰爾山"	22.193182684369	55.8619490894587	26.1576602234316	59.4383651050838
"Tuwayq Mts."	NA	"جبل طويق"	"তুয়াইক পর্বতমালা"	"Tuwaiq"	"Tuwayq Mountains"	"Montaña Tuwaiq"	"Monts Tuwaiq"	"Όρη Τουγουαϊκ"	"तुवायक पर्वत"	"Tuwayq-hegység"	"Pegunungan Tuwayq"	"Monti Tuwaiq"	"トゥワイク山"	"투와이크 마운틴스"	"Tuwaiq"	"Góry Tuwajk"	"Montanhas Tuwaiq"	"горы Тувайк"	"Tuwaiq-bergen"	"Tuwayq Dağları"	"Dãy Tuwayq"	"图韦克山脉"	"رشته کوه تووایک"	"רכס טוואייק"	"Тувейк"	"ٹوائق پہاڑ"	"圖韋克山"	20.3564517273379	45.4415389332087	25.3102481140566	47.0542098316462
"Taurus Mts."	NA	"جبال طوروس"	"তোরোস পর্বতমালা"	"Taurusgebirge"	"Taurus mountains"	"Montes Tauro"	"monts Taurus"	"Ταύρος"	"तोरोस पर्वत"	"Toros-hegység"	"Pegunungan Taurus"	"Tauro"	"トロス山脈"	"토로스산맥"	"Taurus"	"Taurus"	"Montes Tauro"	"Таврские горы"	"Taurusbergen"	"Toros Dağları"	"Dãy núi Taurus"	"托魯斯山脈"	"توروس"	"הרי הטאורוס"	"Таврські гори"	"کوہ طوروس"	"托魯斯山脈"	36.1029727234316	31.2718611988338	37.8214785828066	35.0553084644588
"Böhmerwald"	NA	"شومافا"	"বোহমেরোয়াল্ড"	"Böhmerwald"	"Böhmerwald"	"Böhmerwald"	"Böhmerwald"	"Μπέμερβαλντ"	"बोहमरवाल्ड"	"Böhmerwald"	"Böhmerwald"	"Selva Boema"	"ベーマーの森"	"뵈머발트"	"Bohemer Woud"	"Szumawa"	"Floresta da Boémia"	"Шумава"	"Böhmerwald"	"Böhmerwald"	"Dãy Böhmerwald"	"波西米亚林山"	"بوهمروالد"	"בומרוולד"	"Бомервальд"	"بوھمروالد"	"伯爾默瓦德山"	48.4315860046816	12.3084822925838	49.8140322937441	14.1598006519587
"Transylvanian Alps"	NA	"سلسلة الجبال الترانسيلفانية"	"ট্রান্সসিলভেনিয়ান আল্পস"	"Transsilvanische Alpen"	"Southern Carpathians"	"Cárpatos meridionales"	"Alpes de Transylvanie"	"Τρανσυλβανικές Άλπεις"	"ट्रांसिल्वेनियाई आल्प्स"	"Déli-Kárpátok"	"Carpathians Selatan"	"Alpi Transilvaniche"	"トランシルヴァニアアルプス山脈"	"트란실바니아알프스산맥"	"Transsylvanische Alpen"	"Karpaty Południowe"	"Cárpatos do Sul"	"Южные Карпаты"	"Transsylvanska alperna"	"Transilvanya Alpleri"	"Dãy Transylvanian Alps"	"南喀尔巴阡山脉"	"آلپ ترانسیلوانیا"	"הקרפטים הדרומיים"	"Південні Карпати"	"ٹرانسلوینین ایلپس"	"南喀尔巴阡山脉"	44.6248233093691	21.6279403003963	45.9568545593691	26.7136336597713
"Tatra Mts."	NA	"سلسلة جبال تاترا"	"ট্যাট্রা পর্বতমালা"	"Tatra"	"Tatra Mountains"	"Montes Tatras"	"Montagnes des Tatras"	"Όρη Τάτρα"	"टाट्रा पर्वत"	"Tátra"	"Pegunungan Tatra"	"Monti Tatra"	"タトラ山脈"	"타트라 마운틴스"	"Krzemionki Zakrzowskie"	"Krzemionki Zakrzowskie"	"Montanhas Tatra"	"Кшемёнки-Закшувские"	"Tatrabergen"	"Tatra Dağları"	"Dãy Tatra"	"塔特拉山脉"	"رشته کوه تاترا"	"רכס טאטרה"	"гори Татра"	"تاترا پہاڑ"	"塔特拉山"	48.8202578796816	17.9991561207088	50.0672061218691	23.0561629566463
"Pindus Mts."	NA	"سلسلة جبال بيندوس"	"পিন্দাস মাউন্টেন"	"Pindos"	"Pindus"	"Pindo"	"Pinde"	"Πίνδος"	"पिंडस पर्वत"	"Píndosz"	"Pindos"	"Pindo"	"ピンドス山脈"	"핀도스"	"Pindosgebergte"	"Pindos"	"Montes Pindo"	"Пинд"	"Pindos"	"Pindos Dağları"	"Núi Pindus"	"品都斯山脉"	"پیندوس"	"פינדוס"	"Пінд"	"پینڈوس پہاڑ"	"品都斯山脉"	38.4508731140566	19.9338485035213	41.5055606140565	22.1208602222712
"Calabria"	NA	"كالابريا"	"ক্যালাব্রিয়া"	"Kalabrien"	"Calabria"	"Cadena Costera"	"Calabre"	"Καλαβρία"	"कैलाब्रिया"	"Catena Costiera"	"Calabria"	"Catena Costiera"	"カラブリア山"	"칼라브리아"	"Calabrië"	"Kalabria"	"Calábria"	"Калабрия"	"Kalabrienbergen"	"Calabria"	"Dãy Calabria"	"卡拉布利亚山脉"	"کالابریا"	"קלבריה"	"Калабріа"	"کیلیبریا"	"卡拉布里亞山"	37.939111328125	15.6061920464444	40.2178408874941	17.1746093750002
"Harz"	NA	"جبال هارز"	"হার্জ"	"Harz"	"Harz"	"Harz"	"Harz"	"Χαρζ"	"हर्ज़"	"Harz"	"Pegunungan Harz"	"Harz"	"ハルツ山地"	"하르츠"	"Harz"	"Harz"	"Harz"	"Гарц"	"Harz"	"Harz"	"Dãy Harz"	"哈爾茨山脈"	"هارتس"	"הרי הארץ"	"Гарц"	"ہارز"	"哈爾茨山脈"	51.2824160828066	9.58216393320873	52.1751162781191	11.5179549488338
"Vosges"	NA	"جبال الفوج"	"ভোজেস"	"Vogesen"	"Vosges Mountains"	"Cordillera de los Vosgos"	"Vosges"	"Βόσγια όρη"	"वोस्गेस"	"Vogézek"	"Vosges"	"Vosgi"	"ヴォージュ山脈"	"보주산맥"	"Vogezen"	"Wogezy"	"Vosges"	"Вогезы"	"Vogeserna"	"Vosges Dağları"	"Dãy Vosges"	"佛日山脈"	"ووژ"	"הרי הווז'"	"Воґези"	"ووسجیس"	"佛日山脈"	47.8114688171816	6.52247155039623	49.8173281921816	8.15540612070876
"Sudetes Mts."	NA	"جبال السوديت"	"সুডেটেস পর্বতমালা"	"Sudeten"	"Sudetes"	"Sudetes"	"Sudètes"	"Σουδητικά Όρη"	"सुडेट्स पर्वत"	"Szudéták"	"Sudeten"	"Sudeti"	"ズデーテン山地"	"수데티산맥"	"Sudeten"	"Sudety"	"Sudetos"	"Судеты"	"Sudeterna"	"Südetler"	"Núi Sudetes"	"蘇台德山脈"	"سودتس"	"סודטים"	"Судети"	"سودیٹیس پہاڑ"	"蘇台德山脈"	49.9016787781191	14.1936141285213	51.3039614929629	17.4931746753962
"Erzgebirge"	NA	"جبال الخام"	"এরজগেবিরজে"	"Erzgebirge"	"Ore Mountains"	"Montes Metálicos"	"Monts Métallifères"	"Ερτζγκεμπίργκε"	"एर्ज़गेबिर्ज"	"Erzgebirge"	"Erzgebirge"	"Monti Metalliferi"	"エルツ山地"	"오레 산맥"	"Ertsgebergte"	"Rudawy"	"Montes Metalíferos"	"Рудные горы"	"Erzgebirge"	"Ore Dağları"	"Dãy núi Quặng"	"厄尔士山脉"	"کوههای ارتس"	"הרי העפרה"	"Рудні гори"	"ایرزگوبرائیگ"	"厄尔士山脉"	49.8803775085878	11.6711531910213	50.8980777039004	14.0561629566463
"Ardennes"	NA	"أردين"	"আরদেন্নেস"	"Ardennen"	"Ardennes"	"Ardenas"	"Ardenne"	"Αρδέννες"	"अर्डनेस"	"Ardennek"	"Hutan Ardennes"	"Ardenne"	"アルデンヌ"	"아르덴"	"Ardennen"	"Ardeny"	"Ardenas"	"Арденны"	"Ardennerna"	"Ardenler"	"Dãy Ardennes"	"阿登"	"آردنن"	"ארדנים"	"Арденни"	"آرڈینیز"	"阿登"	49.4589907898379	4.16407311289626	50.4232241882754	6.15357506602129
"Jura"	NA	"جبال جورا"	"জুরা"	"Jura"	"Jura Mountains"	"Jura"	"Jura"	"Ιούρας"	"जूरा पर्वतमाला"	"Jura"	"Pegunungan Jura"	"Massiccio del Giura"	"ジュラ山脈"	"쥐라산맥"	"Jura"	"Jura"	"Jura"	"Юра"	"Jurabergen"	"Jura Dağları"	"Dãy Jura"	"侏罗山"	"رشتهکوه جورا"	"הרי היורה"	"Юра"	"یورہ پہاڑیاں"	"侏罗山"	46.0542666687441	5.6788436207087	47.6613833679629	8.03943932383376
"Grampian Mts."	NA	"جبال جرامبيان"	"গ্রাম্পিয়ান মাউন্টেন"	"Grampian Mountains"	"Cruach nam Miseag"	"Montes Grampianos"	"Monts Grampians"	"Όρη Γκράμπιαν"	"ग्रैम्पियन पर्वत"	"Grampian-hegység"	"Pegunungan Grampian"	"Monti Grampiani"	"グランピアン山脈"	"그램피언 마운틴스"	"Cruach nam Miseag"	"Grampiany"	"Montanhas Grampian"	"Грампиа́нские го́ры"	"Grampian Mountains"	"Grampian Dağları"	"Dãy Grampian"	"格兰皮安山脉"	"کوهستان گرامپیان"	"רכס גרמפיאן"	"Грампіанські гори"	"گریمپین پہاڑ"	"格蘭屏山"	55.9193179382753	-5.54234778554127	57.2379214539004	-2.08861800195036
"Cambrian Mts."	NA	"جبال كامبريان"	"ক্যাম্ব্রিয়ান মাউন্টেন"	"Cambrian Mountains"	"Cambrian Mountains"	"Montes Cámbricos"	"Monts Cambriens"	"Οροσειρά Κάμπριαν"	"कैम्ब्रियन पर्वत"	"Cambrian-hegység"	"Pegunungan Cambrian"	"Monti Cambrici"	"カンブリア山地"	"캄브리안 마운틴스"	"Cambrian Mountains"	"Góry Kambryjskie"	"Montanhas Cambrianas"	"Кембрийские горы"	"Cambrian Mountains"	"Kambriyen Dağları"	"Dãy Cambrian"	"坎布里安山脈"	"کوهستان کامبرین"	"הרי קמבריאן"	"Кембрійські гори"	"کیمبریان پہاڑ"	"坎布里安山脈"	51.6214663757753	-4.28844153554124	53.2420108093691	-3.0500382152288
"Vatnajökull"	NA	"فاتنايوكوتل"	"ভাত্নাইয়োকুত্ল"	"Vatnajökull"	"Vatnajökull"	"Vatnajökull"	"Vatnajökull"	"Βατναγιοκούλ"	"वत्नाजोकुल"	"Vatnajökull"	"Vatnajökull"	"Vatnajökull"	"ヴァトナヨークトル氷河"	"바트나이외쿠틀"	"Vatnajökull"	"Vatnajökull"	"Vatnajökull"	"Ватнайёкюдль"	"Vatnajökull"	"Vatnajökull"	"Vatnajökull"	"瓦特納冰原"	"واختنایوکوت"	"ואטניוקול"	"Ватнайокутль"	"واٹناجوکل"	"瓦特納冰原"	63.9951236023378	-18.1671646800725	64.9115664734316	-15.3520401683538
